Title,Date
"Rogue, o Assassino","3/5/25"
"O Rei das Lutas","3/5/25"
"Fantasmas: Temporada 1: Episódio 10","3/4/25"
"Fantasmas: Temporada 1: Episódio 9","3/4/25"
"Fantasmas: Temporada 1: Episódio 8","3/4/25"
"Fantasmas: Temporada 1: Episódio 7","3/4/25"
"Fantasmas: Temporada 1: Episódio 6","3/4/25"
"Fantasmas: Temporada 1: Episódio 5","3/4/25"
"Fantasmas: Temporada 1: Episódio 4","2/26/25"
"Fantasmas: Temporada 1: Episódio 3","2/26/25"
"Fantasmas: Temporada 1: Episódio 2","2/26/25"
"Fantasmas: Temporada 1: Episódio 1","2/26/25"
"Dia Zero: Minissérie: Episódio 1","2/25/25"
"Uncharted: Fora do Mapa","2/25/25"
"O Agente Noturno: Temporada 2: Desligado","2/19/25"
"O Agente Noturno: Temporada 2: Celulares rastreados","2/18/25"
"Rebel Ridge","2/17/25"
"O Agente Noturno: Temporada 1: Pais","2/16/25"
"O Agente Noturno: Temporada 1: O mal que você conhece","2/16/25"
"O Agente Noturno: Temporada 1: Déjà vu","2/16/25"
"O Agente Noturno: Temporada 1: Um prato que se come frio","2/16/25"
"O Agente Noturno: Temporada 1: Mergulhos profundos","2/16/25"
"O Agente Noturno: Temporada 1: A marionete","2/16/25"
"O Agente Noturno: Temporada 1: Segredos confidenciais","2/16/25"
"O Agente Noturno: Temporada 1: Guarda do zoológico","2/16/25"
"Round 6: Temporada 2: O ﻿ X","2/16/25"
"Round 6: Temporada 2: Mais um jogo","2/16/25"
"Round 6: Temporada 2: Seis pernas","2/15/25"
"Round 6: Temporada 2: 001","2/15/25"
"Round 6: Temporada 2: Festa de Halloween","2/15/25"
"O Agente Noturno: Temporada 1: Rediscagem","2/12/25"
"O Agente Noturno: Temporada 1: A ligação","2/10/25"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Carne","2/10/25"
"Round 6: Temporada 2: Pão e loteria","2/10/25"
"Deuses do Egito","2/5/25"
"Hooligan: Episódio 1","2/4/25"
"Lupin: Parte 3: Capítulo 7","2/3/25"
"Lupin: Parte 3: Capítulo 6","1/29/25"
"Lupin: Parte 3: Capítulo 5","1/29/25"
"Lupin: Parte 3: Capítulo 4","1/29/25"
"Lupin: Parte 3: Capítulo 3","1/28/25"
"Beauty in Black: Matando o karma","1/28/25"
"Beauty in Black: No mesmo patamar","1/28/25"
"Beauty in Black: Matança","1/28/25"
"Beauty in Black: Desvendando as tramas","1/28/25"
"Beauty in Black: Assuntos de família","1/28/25"
"Beauty in Black: Consequências","1/28/25"
"Lupin: Parte 3: Capítulo 2","1/28/25"
"Lupin: Parte 3: Capítulo 1","1/28/25"
"Lupin: Parte 2: Capítulo 10","1/27/25"
"Lupin: Parte 2: Capítulo 9","1/27/25"
"Lupin: Parte 2: Capítulo 8","1/27/25"
"Lupin: Parte 2: Capítulo 7","1/25/25"
"Lupin: Parte 2: Capítulo 6","1/25/25"
"Lupin: Parte 1: Capítulo 5","1/25/25"
"Lupin: Parte 1: Capítulo 4","1/25/25"
"Lupin: Parte 1: Capítulo 3","1/23/25"
"Lupin: Parte 1: Capítulo 2","1/23/25"
"Lupin: Parte 1: Capítulo 1","1/22/25"
"Beauty in Black: Uma dança com o papai","1/21/25"
"Beauty in Black: Chuva de dinheiro","1/21/25"
"Ad Vitam","1/21/25"
"Donzela","1/20/25"
"Prison Break: Temporada 1: Acerto de Contas","1/20/25"
"Round 6: Temporada 1: Um dia de sorte","1/19/25"
"Round 6: Temporada 1: O líder","1/18/25"
"Round 6: Temporada 1: VIPs","1/18/25"
"Round 6: Temporada 1: Gganbu","1/18/25"
"Round 6: Temporada 1: Um mundo justo","1/18/25"
"Round 6: Temporada 1: Fiquem juntos","1/18/25"
"Round 6: Temporada 1: O homem do guarda-chuva","1/18/25"
"Round 6: Temporada 1: Inferno","1/18/25"
"Round 6: Temporada 1: Batatinha frita 1, 2, 3","1/18/25"
"Caçada Selvagem","1/18/25"
"De Volta à Ação","1/18/25"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Enganado","1/18/25"
"Agente das Sombras","1/14/25"
"Terra Indomável: Minissérie: Episódio 1","1/14/25"
"NCIS: Temporada 10: Extremo recomeço","1/13/25"
"As Tartarugas Ninja: Fora das Sombras","1/8/25"
"WWE NXT: 2025: NXT New Year's Evil 2025","1/8/25"
"Velozes e Furiosos 3 – Desafio em Tóquio","12/28/24"
"Racionais: Das Ruas de São Paulo Pro Mundo","12/28/24"
"Uma Quedinha de Natal","12/27/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Hora de dormir","12/27/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Deficiência","12/27/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Testemunha","12/27/24"
"A Profissional","12/27/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Confidencialidade","12/26/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Salvador","12/24/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Politicamente correto","12/24/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Sombra","12/18/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Rapidinha","12/17/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Âncora","12/17/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Pervertido","12/17/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Confusão","12/17/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Dependentes","12/16/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Espiã","12/16/24"
"Transformers: O Despertar das Feras","12/15/24"
"Bagagem de Risco","12/15/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Base genética","12/14/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Dependência","12/14/24"
"CSI: Crime Scene Investigation: Temporada 10: Negócios de família","12/14/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Solitária","12/14/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Coroa","12/14/24"
"Lei e ordem: Special Victims Unit: The Eleventh Year: Instável","12/14/24"
"Lei e ordem: Special Victims Unit: The Tenth Year: Zebras","12/12/24"
"Magnatas do Crime: O refinamento… violento","12/12/24"
"Lucifer: Temporada 2: Engolidor de pecados","12/12/24"
"Lei e ordem: Special Victims Unit: The Tenth Year: Libertação","12/10/24"
"Guerra e Revolta","12/10/24"
"Lei e ordem: Special Victims Unit: The Tenth Year: Apaixonado","12/10/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 5: Gatos pretos","12/9/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 5: Catástrofe na terça-feira","12/9/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 4: À paz!","12/9/24"
"Lei e ordem: Special Victims Unit: The Tenth Year: Egoísta","12/8/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 4: À revolução!","12/8/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 4: Perigo à vista","12/8/24"
"A Liga","12/8/24"
"Avatar: O Último Mestre do Ar: Lendas","12/8/24"
"Senna: Minissérie: Tempo","12/7/24"
"Senna: Minissérie: Herói","12/7/24"
"Senna: Minissérie: Paixão","12/7/24"
"Senna: Minissérie: Ambição","12/7/24"
"Senna: Minissérie: Determinação","12/7/24"
"Senna: Minissérie: Vocação","12/7/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 4: Questão de segurança nacional","12/4/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 4: Bárbaros","12/4/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 4: A forca","12/3/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 3: Episódio 6","12/3/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 3: Episódio 5","12/3/24"
"GTMAX","12/3/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 3: Episódio 4","12/2/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 3: Episódio 3","11/30/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 3: Episódio 2","11/30/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 3: Episódio 1","11/26/24"
"Outer Banks: Temporada 1: Piloto","11/24/24"
"Outer Banks: Temporada 4: A Coroa Azul","11/24/24"
"Outer Banks: Temporada 4: Tempestade","11/24/24"
"Outer Banks: Temporada 4: Trama familiar","11/24/24"
"Outer Banks: Temporada 4: Mães e pais","11/24/24"
"Outer Banks: Temporada 4: Prefeitura","11/24/24"
"Outer Banks: Temporada 4: Albatross","11/24/24"
"Outer Banks: Temporada 4: O swell","11/23/24"
"Outer Banks: Temporada 4: Corsários","11/23/24"
"Outer Banks: Temporada 4: Barba Negra","11/23/24"
"Outer Banks: Temporada 4: O Enduro","11/23/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 2: Episódio 6","11/23/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 2: Episódio 5","11/22/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 2: Episódio 4","11/22/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 2: Episódio 3","11/22/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 2: Episódio 2","11/22/24"
"Lucifer: Temporada 2: Mentira cabeluda","11/21/24"
"Lucifer: Temporada 2: Direto do Inferno","11/21/24"
"Lucifer: Temporada 1: Me leve de volta ao Inferno","11/20/24"
"Lucifer: Temporada 1: #EquipeLucifer","11/20/24"
"Lucifer: Temporada 1: Santo Lucifer","11/20/24"
"Lucifer: Temporada 1: Pops","11/20/24"
"Lucifer: Temporada 1: Um padre entra no bar","11/20/24"
"Cidade de Mentiras","11/20/24"
"Lucifer: Temporada 1: Até tu, Doutora?","11/20/24"
"Lucifer: Temporada 1: Parceiro","11/20/24"
"Lucifer: Temporada 1: Filho favorito","11/20/24"
"Lucifer: Temporada 1: Sapatos","11/20/24"
"Lucifer: Temporada 1: Novidades masculinas","11/20/24"
"Lucifer: Temporada 1: O quase Príncipe das Trevas","11/20/24"
"Lucifer: Temporada 1: Fica, Lucifer. Bom Diabo.","11/20/24"
"Lucifer: Temporada 1: Piloto","11/20/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 2: Episódio 1","11/20/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 6","11/19/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 5","11/19/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 4","11/18/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 3","11/18/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 2","11/18/24"
"Peaky Blinders: Sangue, Apostas e Navalhas: Temporada 1: Episódio 1","11/17/24"
"1 Contra Todos - O Filme","11/17/24"
"Arcane: Temporada 1: Entrando na brincadeira","11/17/24"
"Jake Paul vs. Mike Tyson","11/16/24"
